 -925,52249 -925,52249 -925,52249 -934,65738 -934,65738 -934,65738 -934,65738 -957,64384 -957,64384 -959,4074 -959,4074 -959,55922 -959,55922 -959,58374 -959,58374 -959,58374 -959,61244 -959,61244 -959,61244 -959,61244
 -835,71039 -835,71039 -835,71039 -835,71039 -835,71039 -835,71039 -835,71039 -835,71039 -835,71039 -835,71039 -835,71039 -835,71039 -835,71039 -835,71039 -835,71039 -835,71039 -835,71039 -835,71039 -835,71039 -835,71039
 -873,15508 -874,32746 -874,32746 -874,32746 -874,32746 -874,32746 -888,18258 -888,18258 -888,18258 -888,18258 -917,4522 -917,4522 -917,4522 -956,26603 -959,56888 -959,617 -959,617 -959,617 -959,617 -959,617
 -936,4639 -936,4639 -957,64152 -957,64152 -907,53464 -907,53464 -907,53464 -956,83647 -942,43169 -959,08107 -959,08107 -959,08107 -959,27792 -959,50827 -959,50827 -959,64066 -959,64066 -959,64066 -959,64066 -959,64066
 -752,38529 -779,6208 -779,6208 -779,6208 -779,6208 -779,6208 -779,6208 -779,6208 -779,6208 -779,6208 -779,6208 -779,6208 -779,6208 -779,6208 -779,6208 -779,6208 -779,6208 -779,6208 -779,6208 -779,6208
 -886,18749 -886,18749 -886,18749 -886,18749 -891,77364 -891,77364 -891,77364 -891,77364 -891,77364 -891,77364 -891,77364 -891,77364 -891,77364 -891,77364 -891,77364 -891,77364 -891,77364 -891,77364 -891,77364 -891,77364
 -873,94835 -873,94835 -873,94835 -873,94835 -873,94835 -873,94835 -894,48257 -894,48257 -894,48257 -894,48257 -894,48257 -894,48257 -894,48257 -894,48257 -894,48257 -894,48257 -894,48257 -894,48257 -894,48257 -894,48257
 -832,64898 -941,9936 -941,9936 -941,9936 -941,9936 -941,9936 -941,9936 -941,9936 -941,9936 -959,63539 -959,63539 -959,63539 -959,63539 -959,63539 -959,63539 -959,63539 -959,63539 -959,63539 -959,63539 -959,63539
 -959,14052 -959,14052 -921,25506 -921,25506 -921,25506 -921,25506 -959,51228 -959,51228 -959,51228 -959,51228 -959,51228 -959,51228 -959,51228 -959,51228 -959,51228 -959,51228 -959,51228 -959,51228 -959,51228 -959,51228
 -774,17883 -881,87675 -881,87675 -881,87675 -881,87675 -881,87675 -881,87675 -881,87675 -881,87675 -881,87675 -881,87675 -881,87675 -881,87675 -881,87675 -881,87675 -881,87675 -881,87675 -881,87675 -881,87675 -881,87675
