 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818 -685,75818
 -693,43732 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378 -710,4378
 -634,76474 -586,06251 -604,637 -682,16992 -682,16992 -682,16992 -682,16992 -682,16992 -682,16992 -682,16992 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591 -717,41591
 -820,06141 -820,06141 -820,06141 -821,10387 -819,73525 -821,19474 -820,98018 -820,98018 -821,19474 -821,19474 -821,19474 -821,19474 -821,19474 -821,19474 -821,19474 -821,19474 -821,1951 -821,1951 -821,1951 -821,1951 -821,1951 -821,1951 -821,1951 -821,1951 -821,1951 -821,1951 -821,1951 -821,1951 -821,1951 -821,1951 -821,1951 -821,1951 -821,1951 -821,1951 -821,1951 -821,1951 -821,1951 -821,1951 -821,1951 -821,1951 -821,1951 -821,1951 -821,1951 -821,1951 -821,1951 -821,1951 -821,1951 -821,1951 -821,1951 -821,1951 -821,1951 -821,1951 -821,1951 -821,1951 -821,1951 -821,1951 -821,1951 -821,1951 -821,1951 -821,1951 -821,1951 -821,1951 -821,1951 -821,1951 -821,1951 -821,1951 -821,1951 -821,1951 -821,1951 -821,1951 -821,1951 -821,1951 -821,1951 -821,1951 -821,1951 -821,1951 -821,1951 -821,1951 -821,1951 -821,1951 -821,1951 -821,1951 -821,1951 -821,1951 -821,1951 -821,1951 -821,1951 -821,1951 -821,1951 -821,1951 -821,1951 -821,1951 -821,1951 -821,1951 -821,1951 -821,1951 -821,1951 -821,1951 -821,1951 -821,1951
 -679,33042 -679,33042 -679,33042 -679,33042 -679,33042 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174 -693,60174
 -794,51397 -794,51397 -950,29864 -950,29864 -950,29864 -958,02822 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624 -959,63624
 -869,96517 -869,96517 -869,96517 -869,96517 -883,45853 -883,45853 -883,45853 -883,45853 -957,13597 -957,13597 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535 -959,2535
 -633,82985 -633,1921 -633,1921 -633,1921 -633,1921 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222 -693,30222
 -821,17528 -821,17528 -821,17528 -821,1477 -820,78509 -821,17528 -821,17528 -821,17528 -821,17528 -821,17528 -821,17528 -821,18963 -821,18963 -821,18963 -821,18963 -821,18963 -821,18963 -821,18963 -821,19135 -821,19135 -821,19135 -821,19135 -821,19135 -821,19135 -821,19135 -821,19219 -821,19497 -821,1956 -821,19576 -821,19576 -821,19576 -821,19618 -821,19618 -821,19618 -821,19618 -821,19618 -821,19618 -821,19618 -821,19618 -821,19618 -821,19618 -821,19618 -821,19618 -821,19618 -821,19618 -821,19618 -821,19618 -821,19618 -821,19618 -821,19618 -821,19618 -821,19618 -821,19618 -821,19618 -821,19618 -821,19618 -821,19618 -821,19618 -821,19618 -821,19618 -821,19618 -821,19618 -821,19618 -821,19618 -821,19618 -821,19618 -821,19618 -821,19618 -821,19618 -821,19618 -821,19618 -821,19618 -821,19618 -821,19618 -821,19618 -821,19618 -821,19618 -821,19618 -821,19618 -821,19618 -821,19618 -821,19618 -821,19618 -821,19618 -821,19618 -821,19618 -821,19618 -821,19618 -821,19618 -821,19618 -821,19618 -821,19618 -821,19618 -821,19618 -821,19618 -821,19618 -821,19618 -821,19618 -821,19618 -821,19618
 -907,80732 -907,80732 -907,80732 -907,80732 -907,80732 -907,80732 -907,80732 -907,80732 -919,10502 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928 -956,85928
