 -694,62704 -694,62704 -694,62704 -694,62704 -694,62704 -711,98696 -711,98696 -711,98696 -711,98696 -711,98696 -711,98696 -711,98696 -711,98696 -711,98696 -711,98696 -711,98696 -711,98696 -711,98696 -711,98696 -711,98696
 -841,07695 -841,07695 -841,07695 -841,07695 -841,07695 -841,07695 -841,07695 -841,07695 -841,07695 -841,07695 -841,07695 -841,07695 -841,07695 -841,07695 -841,07695 -841,07695 -841,07695 -841,07695 -841,07695 -841,07695
 -576,39545 -580,90995 -580,90995 -580,90995 -580,90995 -580,90995 -580,90995 -580,90995 -580,90995 -580,90995 -580,90995 -580,90995 -580,90995 -580,90995 -580,90995 -580,90995 -580,90995 -580,90995 -580,90995 -580,90995
 -911,51743 -911,51743 -911,51743 -911,51743 -856,22429 -856,22429 -923,7236 -929,53367 -940,85881 -940,85881 -959,5574 -959,5574 -959,5574 -959,5574 -959,60324 -959,60324 -959,60324 -959,60324 -959,60324 -959,60324
 -551,93691 -551,93691 -688,22339 -688,22339 -694,17186 -694,17186 -694,17186 -694,17186 -633,19307 -688,22339 -745,15655 -688,04871 -700,24438 -745,15655 -773,99313 -778,77732 -778,77732 -778,77732 -778,77732 -778,77732
 -667,22329 -667,22329 -667,22329 -667,22329 -667,22329 -677,47339 -706,07269 -706,07269 -706,07269 -706,07269 -706,07269 -706,07269 -706,07269 -706,07269 -706,07269 -706,07269 -706,07269 -706,07269 -706,07269 -706,07269
 -580,72347 -580,72347 -580,72347 -580,72347 -580,72347 -580,72347 -580,72347 -580,72347 -580,72347 -580,72347 -580,72347 -580,72347 -580,72347 -580,72347 -580,72347 -580,72347 -580,72347 -580,72347 -580,72347 -580,72347
 -715,15026 -715,15026 -715,15026 -715,15026 -715,15026 -721,44805 -721,44805 -721,44805 -721,44805 -721,44805 -721,44805 -721,44805 -721,44805 -721,44805 -721,44805 -721,44805 -721,44805 -721,44805 -721,44805 -721,44805
 -693,07532 -956,12644 -956,12644 -956,12644 -956,12644 -956,12644 -956,12644 -943,7084 -943,7084 -943,7084 -888,84587 -959,48438 -959,48438 -959,48438 -959,48438 -959,48438 -959,48438 -959,48438 -959,48438 -959,48438
 -857,33132 -857,33132 -857,33132 -857,33132 -858,60102 -867,74395 -885,04996 -885,04996 -887,67332 -887,67332 -887,67332 -887,67332 -887,67332 -887,67332 -887,67332 -887,67332 -887,67332 -887,67332 -887,67332 -887,67332
